ID,名称,介绍
214,陶谦,字恭祖，丹阳人。讨伐黄巾有功，历任朝廷要职。讨伐董卓十八镇诸侯之一，时任徐州刺史。曹操兴兵攻徐州，陶谦大败，死者无数，泗水不流。小说里三让徐州于刘备。史称他名不副实、外强中干、昏乱忧亡。
215,张宝,汉末全国性农民起义（“黄巾起义”）领袖张角之弟，起义军领导人之一，称“地公将军”。起义之初各地大捷，灵帝慌调精兵镇压，因农民各自为战，缺乏经验，连连失利。张角病死后，张宝也阵亡于曲阳。
216,张梁,张角、张宝之弟。与其兄一起举兵造反，发动了黄巾之乱。自称人公将军，在张角死后，继续指挥贼兵。后败于官军，在曲阳战死。
217,梦梅,
218,献帝,后汉王朝最后的皇帝。名协，字伯和。董卓废了少帝后继任皇帝位，时年九岁。
219,杨修,
220,徐庶,
221,徐母,
222,王允,
223,甘夫人,
224,糜夫人,
225,邹夫人,
226,许子将,
227,曹嵩,
228,曹植,
229,刘璋,
230,公孙瓒,
231,鲁肃99,字子敬。一直主张联刘抗曹。赤壁之战时，辅佐周瑜联合刘备，打败了曹操。与周瑜关系很好。周瑜死后继任都督，肩负重任。
232,刘备99,字玄德，东汉中山靖王刘胜之后。被曹操认为是当世英雄，招揽了不少英雄豪杰、贤才隐士，后来亲自建立蜀国。献帝逊位后，自立为蜀汉皇帝。
233,张飞99,字翼德。与刘备、关羽桃园结义后，随刘备征战，同扶汉室。曾匹马单枪拒曹军于长阪；刘备入川时，他率军出战攻无不克。后被封为车骑将军，是蜀汉五虎将之一。
234,周瑜99,字公瑾，人称美周郎。东吴都督，奉孙策遗命辅佐年幼的孙权。智谋高远，是东吴的栋梁。在赤壁之战中，以五万破曹军八十三万大军，创造了以寡击众的杰出战例。
235,孙坚99,字文台，吴郡富春人，孙武之后。随朱隽镇压黄巾，屡立战功，封长沙太守。后参与讨董联军，表现积极，数败董卓部队。进洛阳后修复皇陵。后与刘表交战，击败黄祖，却被敌士兵射杀。演义中有私匿玉玺的情节。
236,孙策99,字伯符，吴郡富春人，孙坚长子。早期寄身于袁术，后与其反目，继承父亲的遗志，任用周瑜等人，平定了江东，打下了吴国的基础。二十六岁被刺客所杀，谥长沙桓王。小说中称“小霸王”，曾与太史慈斗战未分胜负。
237,孙权99,字仲谋，孙坚次子。继承父兄的伟业，统治江东。多谋善断，广泛提拔人才并尽其所能，因此取得赤壁之战的胜利。是吴王朝第一代皇帝。
238,吕蒙99,字子明。原是一介武夫，受孙权教诲，学习文武之道，成长为智勇兼备的名将。鲁肃死后就任东吴都督，最早看出陆逊的才干，与陆逊合作，并杀死了关羽。
239,诸葛亮1,字孔明，号卧龙先生，蜀汉丞相。刘备三顾茅庐请他出仕后，他出计献策使无处立身的刘备建立蜀汉。刘备死后，他又继承遗志，为匡扶汉室鞠躬尽瘁，死而后已。
240,诸葛亮2,字孔明，号卧龙先生，蜀汉丞相。刘备三顾茅庐请他出仕后，他出计献策使无处立身的刘备建立蜀汉。刘备死后，他又继承遗志，为匡扶汉室鞠躬尽瘁，死而后已。
241,诸葛亮3,字孔明，号卧龙先生，蜀汉丞相。刘备三顾茅庐请他出仕后，他出计献策使无处立身的刘备建立蜀汉。刘备死后，他又继承遗志，为匡扶汉室鞠躬尽瘁，死而后已。
242,诸葛亮4,字孔明，号卧龙先生，蜀汉丞相。刘备三顾茅庐请他出仕后，他出计献策使无处立身的刘备建立蜀汉。刘备死后，他又继承遗志，为匡扶汉室鞠躬尽瘁，死而后已。
243,富豪01,
244,富豪02,
245,富豪03,
246,农民01,
247,农民02,
248,农民03,
249,农民04,
250,士兵01,
251,士兵02,
252,士兵03,
253,士兵04,
254,士兵05,
255,士兵06,
256,黄巾军01,
257,黄巾军02,
258,侍女01,
259,侍女02,
260,侍女03,
261,文官01,
262,文官02,
263,文官03,
264,文官04,
265,文官05,
266,文官06,
267,赤兔马,
268,马,
269,白马,
270,关羽首级,
271,大旗,
272,镜台,
273,商人,
274,年轻人,
275,男子,
276,女子,
277,小孩7,
278,小孩4,
279,空279,
280,空280,
281,空281,
282,空282,
283,空283,
284,空284,
285,空285,
286,空286,
287,空287,
288,空288,
289,空289,
290,空290,
291,空291,
292,空292,
293,空293,
294,空294,
295,空295,
296,空296,
297,空297,
298,空298,
299,空299,
300,空300,
301,空301,
302,空302,
303,空303,
304,空304,
305,空305,
306,空306,
307,空307,
308,空308,
309,空309,
310,空310,
311,空311,
312,空312,
313,空313,
314,空314,
315,空315,
316,空316,
317,空317,
318,空318,
319,空319,
320,空320,
321,空321,
322,空322,
323,空323,
324,空324,
325,空325,
326,空326,
327,空327,
328,空328,
329,空329,
330,空330,
331,空331,
332,空332,
333,空333,
334,空334,
335,空335,
336,空336,
337,空337,
338,空338,
339,空339,
340,空340,
341,空341,
342,空342,
343,空343,
344,空344,
345,空345,
346,空346,
347,空347,
348,空348,
349,空349,
350,空350,
351,空351,
352,空352,
353,空353,
354,空354,
355,空355,
356,空356,
357,空357,
358,空358,
359,空359,
360,空360,
361,空361,
362,空362,
363,空363,
364,空364,
365,空365,
366,空366,
367,空367,
368,空368,
369,空369,
370,空370,
371,空371,
372,空372,
373,空373,
374,空374,
375,空375,
376,空376,
377,空377,
378,空378,
379,空379,
380,空380,
381,空381,
382,空382,
383,空383,
384,空384,
385,空385,
386,空386,
387,空387,
388,空388,
389,空389,
390,空390,
391,空391,
392,空392,
393,空393,
394,空394,
395,空395,
396,空396,
397,空397,
398,空398,
399,空399,
400,空400,
401,空401,
402,空402,
403,空403,
404,空404,
405,空405,
406,空406,
407,空407,
408,空408,
409,空409,
410,空410,
411,空411,
412,空412,
413,空413,
414,空414,
415,空415,
416,空416,
417,空417,
418,空418,
419,空419,
420,空420,
421,空421,
422,空422,
423,空423,
424,空424,
425,空425,
426,空426,
427,空427,
428,空428,
429,空429,
430,空430,
431,空431,
432,空432,
433,空433,
434,空434,
435,空435,
436,空436,
437,空437,
438,空438,
439,空439,
440,空440,
441,空441,
442,空442,
443,空443,
444,空444,
445,空445,
446,空446,
447,空447,
448,空448,
449,空449,
450,空450,
451,空451,
452,空452,
453,空453,
454,空454,
455,空455,
456,空456,
457,空457,
458,空458,
459,空459,
460,空460,
461,空461,
462,空462,
463,空463,
464,空464,
465,空465,
466,空466,
467,空467,
468,空468,
469,空469,
470,空470,
471,空471,
472,空472,
473,空473,
474,空474,
475,空475,
476,空476,
477,空477,
478,空478,
479,空479,
480,空480,
481,空481,
482,空482,
483,空483,
484,空484,
485,空485,
486,空486,
487,空487,
488,空488,
489,空489,
490,空490,
491,空491,
492,空492,
493,空493,
494,空494,
495,空495,
496,空496,
497,空497,
498,空498,
499,空499,
500,======,
501,步兵1,
502,步兵2,
503,步兵3,
504,步兵4,
505,步兵5,
506,步兵6,
507,步兵7,
508,步兵8,
509,步兵9,
510,步兵10,
511,步兵11,
512,步兵12,
513,步兵13,
514,步兵14,
515,步兵15,
516,步兵16,
517,步兵17,
518,步兵18,
519,步兵19,
520,步兵20,
521,步兵21,
522,步兵22,
523,步兵23,
524,步兵24,
525,弓兵1,
526,弓兵2,
527,弓兵3,
528,弓兵4,
529,弓兵5,
530,弓兵6,
531,弓兵7,
532,弓兵8,
533,弓兵9,
534,弓兵10,
535,弓兵11,
536,弓兵12,
537,弓兵13,
538,弓兵14,
539,弓兵15,
540,弓兵16,
541,弓兵17,
542,弓兵18,
543,弓兵19,
544,弓兵20,
545,弓兵21,
546,弓兵22,
547,弓兵23,
548,弓兵24,
549,骑兵1,
550,骑兵2,
551,骑兵3,
552,骑兵4,
553,骑兵5,
554,骑兵6,
555,骑兵7,
556,骑兵8,
557,骑兵9,
558,骑兵10,
559,骑兵11,
560,骑兵12,
561,骑兵13,
562,骑兵14,
563,骑兵15,
564,骑兵16,
565,骑兵17,
566,骑兵18,
567,骑兵19,
568,骑兵20,
569,骑兵21,
570,骑兵22,
571,骑兵23,
572,骑兵24,
573,弓骑兵1,
574,弓骑兵2,
575,弓骑兵3,
576,弓骑兵4,
577,弓骑兵5,
578,弓骑兵6,
579,弓骑兵7,
580,弓骑兵8,
581,弓骑兵9,
582,弓骑兵10,
583,弓骑兵11,
584,弓骑兵12,
585,弓骑兵13,
586,弓骑兵14,
587,弓骑兵15,
588,弓骑兵16,
589,炮兵1,
590,炮兵2,
591,炮兵3,
592,炮兵4,
593,炮兵5,
594,炮兵6,
595,炮兵7,
596,炮兵8,
597,炮兵9,
598,炮兵10,
599,炮兵11,
600,炮兵12,
601,武术家1,
602,武术家2,
603,武术家3,
604,武术家4,
605,武术家5,
606,武术家6,
607,武术家7,
608,武术家8,
609,贼兵1,
610,贼兵2,
611,贼兵3,
612,贼兵4,
613,贼兵5,
614,贼兵6,
615,贼兵7,
616,贼兵8,
617,贼兵9,
618,贼兵10,
619,贼兵11,
620,贼兵12,
621,贼兵13,
622,贼兵14,
623,贼兵15,
624,贼兵16,
625,策士1,
626,策士2,
627,策士3,
628,策士4,
629,策士5,
630,策士6,
631,策士7,
632,策士8,
633,风水士1,
634,风水士2,
635,风水士3,
636,风水士4,
637,风水士5,
638,风水士6,
639,风水士7,
640,风水士8,
641,道士1,
642,道士2,
643,道士3,
644,道士4,
645,道士5,
646,道士6,
647,道士7,
648,道士8,
649,海盗1,
650,海盗2,
651,海盗3,
652,海盗4,
653,海盗5,
654,海盗6,
655,海盗7,
656,海盗8,
657,海盗9,
658,海盗10,
659,海盗11,
660,海盗12,
661,海盗13,
662,海盗14,
663,海盗15,
664,海盗16,
665,海盗17,
666,海盗18,
667,海盗19,
668,海盗20,
669,海盗21,
670,海盗22,
671,海盗23,
672,海盗24,
673,驯熊师1,
674,驯熊师2,
675,驯熊师3,
676,驯熊师4,
677,驯熊师5,
678,驯熊师6,
679,驯熊师7,
680,驯熊师8,
681,驯虎师1,
682,驯虎师2,
683,驯虎师3,
684,驯虎师4,
685,驯虎师5,
686,驯虎师6,
687,驯虎师7,
688,驯虎师8,
689,辎重队1,
690,辎重队2,
691,辎重队3,
692,辎重队4,
693,辎重队5,
694,辎重队6,
695,辎重队7,
696,辎重队8,
697,粮草队1,
698,粮草队2,
699,粮草队3,
700,粮草队4,
701,粮草队5,
702,粮草队6,
703,粮草队7,
704,粮草队8,
705,木人1,
706,木人2,
707,木人3,
708,木人4,
709,木人5,
710,木人6,
711,木人7,
712,木人8,
713,木人9,
714,木人10,
715,木人11,
716,木人12,
717,木人13,
718,木人14,
719,木人15,
720,木人16,
721,木人17,
722,木人18,
723,木人19,
724,木人20,
725,木人21,
726,木人22,
727,木人23,
728,木人24,
729,土偶1,
730,土偶2,
731,土偶3,
732,土偶4,
733,土偶5,
734,土偶6,
735,土偶7,
736,土偶8,
737,土偶9,
738,土偶10,
739,土偶11,
740,土偶12,
741,土偶13,
742,土偶14,
743,土偶15,
744,土偶16,
745,土偶17,
746,土偶18,
747,土偶19,
748,土偶20,
749,土偶21,
750,土偶22,
751,土偶23,
752,土偶24,
753,西凉骑兵1,
754,西凉骑兵2,
755,西凉骑兵3,
756,西凉骑兵4,
757,西凉骑兵5,
758,西凉骑兵6,
759,西凉骑兵7,
760,西凉骑兵8,
761,西凉骑兵9,
762,西凉骑兵10,
763,西凉骑兵11,
764,西凉骑兵12,
765,黄巾军1,
766,黄巾军2,
767,黄巾军3,
768,黄巾军4,
769,黄巾军5,
770,黄巾军6,
771,黄巾军7,
772,黄巾军8,
773,黄巾军9,
774,黄巾军10,
775,黄巾军11,
776,黄巾军12,
777,黄巾军13,
778,黄巾军14,
779,黄巾军15,
780,黄巾军16,
781,黄巾军17,
782,黄巾军18,
783,黄巾军19,
784,黄巾军20,
785,黄巾军21,
786,黄巾军22,
787,黄巾军23,
788,黄巾军24,
789,黄巾军25,
790,黄巾军26,
791,黄巾军27,
792,黄巾军28,
793,黄巾军29,
794,黄巾军30,
795,百姓1,
796,百姓2,
797,百姓3,
798,百姓4,
799,百姓5,
800,百姓6,
801,百姓7,
802,百姓8,
803,空803,
804,空804,
805,空805,
806,空806,
807,空807,
808,空808,
809,空809,
810,空810,
811,空811,
812,空812,
813,空813,
814,空814,
815,空815,
816,空816,
817,空817,
818,空818,
819,空819,
820,空820,
821,空821,
822,空822,
823,空823,
824,空824,
825,空825,
826,空826,
827,空827,
828,空828,
829,空829,
830,空830,
831,空831,
832,空832,
833,空833,
834,空834,
835,空835,
836,空836,
837,空837,
838,空838,
839,空839,
840,空840,
841,空841,
842,空842,
843,空843,
844,空844,
845,空845,
846,空846,
847,空847,
848,空848,
849,空849,
850,空850,
851,空851,
852,空852,
853,空853,
854,空854,
855,空855,
856,空856,
857,空857,
858,空858,
859,空859,
860,空860,
861,空861,
862,空862,
863,空863,
864,空864,
865,空865,
866,空866,
867,空867,
868,空868,
869,空869,
870,空870,
871,空871,
872,空872,
873,空873,
874,空874,
875,空875,
876,空876,
877,空877,
878,空878,
879,空879,
880,空880,
881,空881,
882,空882,
883,空883,
884,空884,
885,空885,
886,空886,
887,空887,
888,空888,
889,空889,
890,空890,
891,空891,
892,空892,
893,空893,
894,空894,
895,空895,
896,空896,
897,空897,
898,空898,
899,空899,
900,空900,
901,空901,
902,空902,
903,空903,
904,空904,
905,空905,
906,空906,
907,空907,
908,空908,
909,空909,
910,空910,
911,空911,
912,空912,
913,空913,
914,空914,
915,空915,
916,空916,
917,空917,
918,空918,
919,空919,
920,空920,
921,空921,
922,空922,
923,空923,
924,空924,
925,空925,
926,空926,
927,空927,
928,空928,
929,空929,
930,空930,
931,空931,
932,空932,
933,空933,
934,空934,
935,空935,
936,空936,
937,空937,
938,空938,
939,空939,
940,空940,
941,空941,
942,空942,
943,空943,
944,空944,
945,空945,
946,空946,
947,空947,
948,空948,
949,空949,
950,空950,
951,空951,
952,空952,
953,空953,
954,空954,
955,空955,
956,空956,
957,空957,
958,空958,
959,空959,
960,空960,
961,空961,
962,空962,
963,空963,
964,空964,
965,空965,
966,空966,
967,空967,
968,空968,
969,空969,
970,空970,
971,空971,
972,空972,
973,空973,
974,空974,
975,空975,
976,空976,
977,空977,
978,空978,
979,空979,
980,空980,
981,空981,
982,空982,
983,空983,
984,空984,
985,空985,
986,空986,
987,空987,
988,空988,
989,空989,
990,空990,
991,空991,
992,空992,
993,空993,
994,空994,
995,空995,
996,空996,
997,空997,
998,空998,
999,空999,
1000,空1000,
1001,空1001,
1002,空1002,
1003,空1003,
1004,空1004,
1005,空1005,
1006,空1006,
1007,空1007,
1008,空1008,
1009,空1009,
1010,空1010,
1011,空1011,
1012,空1012,
1013,空1013,
1014,空1014,
1015,空1015,
1016,空1016,
1017,空1017,
1018,空1018,
1019,空1019,
1020,空1020,
1021,空1021,
1022,陪练师,
1023,军需官,
